SampleID,X,Y,Z,dist_fault,Lith_Schist,Lith_AndesiteTuff,slope,aspect,Pb,Cu,Zn,dist_to_Cu_hotspot,dist_to_Pb_hotspot,dist_to_Zn_hotspot,Cu_knn_mean,Cu_knn_std,Pb_knn_mean,Pb_knn_std,Zn_knn_mean,Zn_knn_std
142,531737.11,4418497.25,223,838.0403068,1,0,25.15543175,188.6156464,90,115,120,49.02101279,49.02101279,49.02101279,215,234.7738273,224.375,298.1341718,122.5,21.06537443
143,531697.63,4418526.99,228,841.1274943,1,0,8.242594719,209.0545959,100,120,150,98.46826542,98.46826542,0,124.125,87.10831978,185,308.6867344,112.5,29.79093822
144,531659.78,4418554.84,237,846.2101455,1,0,17.63479996,111.6444397,85,130,145,110.4784282,136.159311,0,75.125,38.68603592,66.875,22.62983374,106.25,28.03457687
145,531621.38,4418584.12,252,854.9110613,1,0,22.97076607,114.8636932,45,40,105,135.8300595,171.6818565,48.30825451,68.625,33.97034552,74.375,26.86046118,113.125,22.07055448
146,531583.19,4418612.74,266,865.6909868,1,0,23.73345184,101.0702057,45,33,95,171.1378561,203.7592837,96.04993478,63,28.63564213,71.875,26.45012996,105,17.67766953
147,531545.2,4418642.57,291,880.1442718,1,0,17.62038994,106.2940521,110,58,90,211.3622864,216.7088721,144.3651153,50,12.94217911,58.75,30.69507289,99.375,11.57516199
148,532598.94,4417974.22,194,1353.782085,0,1,16.55677223,263.65979,45,8,25,626.1610907,448.4722486,334.0466606,13.625,5.266343608,37.5,7.071067812,48.75,24.71714992
149,532561.75,4418002.78,195,1320.682745,1,0,14.86322784,46.43209457,45,8,15,579.9792727,402.7162554,287.1387648,13.625,5.266343608,37.5,7.071067812,48.75,24.71714992
150,532523.73,4418031.94,192,1287.725571,1,0,18.35084343,46.1457634,30,10,30,532.9145893,356.2790854,239.2070121,15.25,5.868347297,36.25,6.495190528,58.75,30.59309563
151,532484.95,4418060.65,204,1254.898973,1,0,16.25743294,62.19853973,35,15,75,485.5210431,310.2327243,190.9393874,16.125,5.2066664,35.625,4.635124054,65.625,27.99972098
152,532448.44,4418088.44,207,1225.100252,1,0,9.235664368,33.23171234,35,23,110,440.7679139,266.9511237,145.0387674,16.125,3.822221213,33.125,2.420614591,71.25,20.87911636
153,532409.6,4418117.27,201,1194.33262,1,0,12.77199459,335.5560303,30,15,65,393.7261729,222.7182398,96.65170892,25,20.34084561,33.125,6.584783596,93.75,53.83713867
154,532370.57,4418146.67,183,1164.744953,1,0,9.791578293,317.2025757,30,18,80,346.6798152,180.0286368,47.76982308,25.625,20.09936255,33.75,6.959705454,97.5,52.97405025
155,532332.71,4418175.77,178,1137.502985,1,0,12.45011806,12.26477051,45,78,230,301.4274688,141.9015406,0,24.375,20.37730048,44.375,22.69877475,102.5,56.29165125
156,532292.2,4418205.83,172,1109.508581,1,0,3.580506563,347.0053711,40,20,85,254.2842352,95.59507208,47.59472401,27.5,20.31009601,60.625,38.52251777,142.5,99.43590901
157,532254.24,4418234.51,177,1084.95192,1,0,15.62096596,157.3062134,90,18,130,211.4267089,48.00136862,0,31.125,20.54530056,123.125,125.7959036,171.25,92.86246551
